ticker,company_name,cusip,coupon,maturity_date,years_to_maturity,amount_outstanding_mm,initial_rating,sub_sector,indicative_price,liquidity_tier
MEGAMART,MegaMart Inc,UXRGA9UCO,0.0425,2029-03-15,4.2,2500,A,Big Box,90.44,high
FRESHCO,FreshCo Holdings,B19DBBS2G,0.045,2028-06-01,3.4,1800,A-,Grocery,93.16,high
HOMEZONE,HomeZone Corp,GZ97W7M6V,0.05,2030-09-15,5.7,1500,BBB+,Home Improvement,86.43,high
PETPAL,PetPal Stores,THIB2TN9Q,0.0525,2028-11-15,3.9,600,BBB,Specialty,88.78,medium
DOLLARMAX,DollarMax Corp,J3U3LQ2QY,0.055,2029-04-01,4.2,1200,BBB,Dollar Stores,88.37,high
ATHLEISUR,Athleisure Brands,1UXV144MT,0.0675,2028-02-01,3.1,500,BB+,Apparel,88.48,medium
LUXLINE,LuxLine Group,VFKLMUXJJ,0.0575,2029-07-15,4.5,900,BBB-,Luxury,82.62,medium
DIGITSHOP,DigitShop Inc,WFM0W3TUS,0.075,2027-10-01,2.7,400,BB,E-Commerce,90.83,medium
AUTOSUPPLY,AutoSupply Chain,NMIVSUYHH,0.0725,2028-05-15,3.4,550,BB,Auto Parts,84.73,medium
KIDWORLD,KidWorld Retail,FPU1JAUHF,0.08,2027-08-01,2.6,300,BB-,Specialty,89.12,low
TOOLCRAFT,ToolCraft Holdings,GY0J6EW0F,0.07,2029-01-15,4.0,450,BB,Home Improvement,83.99,medium
BOOKBOUND,BookBound Media,8I12CSIP2,0.0825,2026-06-01,1.4,200,BB-,Specialty,95.04,very_low
GROCEREASE,GrocerEase Markets,2YVI5MZSN,0.06,2030-03-01,5.2,1000,BBB-,Grocery,84.62,medium
MALLSTAR,MallStar Retail Group,RJC7LSWWP,0.075,2027-09-15,2.7,700,BB,Department Store,91.41,medium
FASHIONRX,FashionRx Inc,L2886F5M0,0.085,2027-04-01,2.2,350,BB-,Apparel,93.9,low
FURNWORLD,FurnWorld Corp,RGSCGM2C3,0.09,2026-12-15,2.0,250,B+,Furniture,92.39,low
TECHMALL,TechMall Electronics,7EYVMKYVG,0.095,2026-03-15,1.2,500,B,Electronics,95.66,low
PHARMAMART,PharmaMart Stores,BOVZKJL6Q,0.0525,2031-06-15,6.5,1500,BBB,Pharmacy,79.68,high
SPORTZONE,SportZone Athletics,69BAT3ZQF,0.07,2028-08-01,3.6,400,BB+,Specialty,87.08,medium
GREENGROC,GreenGroc Organic,5W33OMBD4,0.0775,2028-12-15,4.0,300,BB,Grocery,86.36,medium
BEAUTYCO,BeautyCo Holdings,K367PT6JM,0.08,2027-05-01,2.3,250,BB-,Specialty,91.38,very_low
OFFICEMAX2,OfficeMax Plus,N1A4TQLMJ,0.0875,2026-09-01,1.7,350,B+,Office Supply,93.7,low
DISCOUNTCO,DiscountCo Stores,YAWLXBY8K,0.0575,2030-01-15,5.0,1100,BBB-,Dollar Stores,81.4,high
OUTDOORPRO,OutdoorPro Gear,XB4N9LMEE,0.0725,2029-02-01,4.1,350,BB,Specialty,84.02,medium
SNAPFASH,SnapFashion Retail,WIBRR9HW9,0.1,2025-09-15,0.7,400,B,Fast Fashion,96.55,very_low
