date,ticker,event_type,description
2023-03-15,MALLSTAR,Rating Downgrade,S&P downgrades to BB- from BB; outlook negative. Cited declining foot traffic and margin compression.
2023-06-20,FASHIONRX,Earnings Miss,Q2 EBITDA missed consensus by 15%. Management withdrew full-year guidance.
2023-09-10,TECHMALL,Covenant Breach,"Leverage ratio exceeded 7.0x, triggering restricted payments covenant. Obtained limited waiver."
2023-11-01,ATHLEISUR,Rating Upgrade,Moody's upgrades to Ba1 from Ba2; outlook stable. Recognized debt paydown and margin improvement.
2024-01-22,HOMEZONE,Rating Upgrade,S&P upgrades to A- from BBB+. Strong free cash flow generation and conservative balance sheet management.
2024-02-15,FURNWORLD,Earnings Miss,Q4 revenue down 8% YoY. Housing slowdown impacting demand. Announced store closures.
2024-04-10,MALLSTAR,Store Closures,Announced closure of 45 underperforming locations (~12% of fleet). $180mm in restructuring charges.
2024-05-08,TECHMALL,Rating Downgrade,Fitch downgrades to CCC+ from B-. Negative free cash flow and approaching maturity wall.
2024-06-01,SNAPFASH,Going Concern,Auditor issued going concern qualification. Liquidity runway estimated at 6-9 months.
2024-07-15,DIGITSHOP,Debt Paydown,Repaid $200mm of term loan from operating cash flow. Leverage now below 3.5x.
2024-08-20,FASHIONRX,Rating Downgrade,S&P downgrades to B+ from BB-. Deteriorating margins and increasing competition from fast fashion.
2024-09-30,LUXLINE,Earnings Beat,Q3 EBITDA beat by 10%. Luxury resilience continues. Announced $500mm share repurchase.
2024-11-15,FURNWORLD,Covenant Breach,Interest coverage fell below 1.5x minimum. Creditors considering options.
2024-10-05,GREENGROC,Refinancing,Successfully refinanced 2025 maturities at 150bps tighter. Market recognizing turnaround story.
